query_id	subject_id	percent_identity	alignment_length	matches
dual_0	amp_567	100.0	25	25.0
dual_0	amp_4803	92.0	27	23.0
dual_0	amp_4804	96.0	26	24.0
dual_0	amp_4805	92.0	27	23.0
dual_0	amp_4806	92.0	27	23.0
dual_0	amp_4807	92.0	27	23.0
dual_0	amp_4808	96.0	26	24.0
dual_0	amp_4809	96.0	26	24.0
dual_0	amp_4810	92.0	27	23.0
dual_0	amp_4811	92.0	27	23.0
dual_0	amp_4812	92.0	27	23.0
dual_0	amp_4814	92.0	25	23.0
dual_0	amp_4815	92.0	27	23.0
dual_0	amp_4817	92.0	25	23.0
dual_1	amp_914	100.0	25	25.0
dual_2	amp_915	100.0	16	16.0
dual_3	amp_976	100.0	19	19.0
dual_4	amp_4306	100.0	29	29.0
dual_4	amp_5414	100.0	29	29.0
dual_4	amp_5425	96.55	30	28.0
dual_4	amp_5426	96.55	30	28.0
dual_4	amp_5427	96.55	30	28.0
dual_4	amp_5428	93.1	31	27.0
dual_4	amp_5429	93.1	31	27.0
dual_4	amp_5430	93.1	31	27.0
dual_4	amp_5431	96.55	30	28.0
dual_4	amp_5432	96.55	30	28.0
dual_4	amp_5433	93.1	31	27.0
dual_5	amp_4306	96.55	30	28.0
dual_5	amp_5414	96.55	30	28.0
dual_5	amp_5425	100.0	29	29.0
dual_5	amp_5426	96.55	30	28.0
dual_5	amp_5427	93.1	31	27.0
dual_5	amp_5428	96.55	30	28.0
dual_5	amp_5429	96.55	30	28.0
dual_5	amp_5430	93.1	31	27.0
dual_5	amp_5431	93.1	31	27.0
dual_5	amp_5432	93.1	31	27.0
dual_6	amp_4306	96.55	30	28.0
dual_6	amp_5414	96.55	30	28.0
dual_6	amp_5425	93.1	31	27.0
dual_6	amp_5426	93.1	31	27.0
dual_6	amp_5427	100.0	29	29.0
dual_6	amp_5429	96.55	30	28.0
dual_6	amp_5430	96.55	30	28.0
dual_6	amp_5431	93.1	31	27.0
dual_6	amp_5432	96.55	30	28.0
dual_6	amp_5433	93.1	31	27.0
dual_7	amp_4306	93.1	31	27.0
dual_7	amp_5414	93.1	31	27.0
dual_7	amp_5425	96.55	30	28.0
dual_7	amp_5426	93.1	31	27.0
dual_7	amp_5427	96.55	30	28.0
dual_7	amp_5428	93.1	31	27.0
dual_7	amp_5429	100.0	29	29.0
dual_7	amp_5430	96.55	30	28.0
dual_7	amp_5432	93.1	31	27.0
dual_8	amp_3861	95.0	21	19.0
dual_8	amp_3863	90.0	20	18.0
dual_8	amp_3864	90.0	22	18.0
dual_8	amp_3865	90.0	22	18.0
dual_8	amp_7318	100.0	20	20.0
dual_8	amp_8109	90.0	22	18.0
dual_8	amp_8110	90.0	22	18.0
dual_9	amp_1069	94.44	18	17.0
dual_9	amp_1072	94.12	18	16.0
dual_9	amp_1074	94.12	17	16.0
dual_9	amp_1080	94.12	18	16.0
dual_9	amp_1081	94.12	18	16.0
dual_9	amp_7319	100.0	17	17.0
dual_10	amp_7320	100.0	18	18.0
dual_10	amp_7322	94.44	19	17.0
dual_10	amp_7332	94.44	19	17.0
dual_11	amp_7321	100.0	18	18.0
dual_11	amp_7323	94.44	19	17.0
dual_11	amp_7332	94.44	19	17.0
dual_12	amp_7320	94.44	19	17.0
dual_12	amp_7322	100.0	18	18.0
dual_13	amp_7321	94.44	19	17.0
dual_13	amp_7323	100.0	18	18.0
dual_13	amp_7324	94.44	19	17.0
dual_13	amp_7325	94.44	19	17.0
dual_13	amp_7327	94.44	19	17.0
dual_13	amp_7328	94.44	19	17.0
dual_13	amp_7330	94.44	19	17.0
dual_13	amp_7331	94.44	19	17.0
dual_14	amp_7323	94.44	19	17.0
dual_14	amp_7324	100.0	18	18.0
dual_14	amp_7325	94.44	19	17.0
dual_14	amp_7330	94.44	19	17.0
dual_15	amp_7323	94.44	19	17.0
dual_15	amp_7324	94.44	19	17.0
dual_15	amp_7325	100.0	18	18.0
dual_15	amp_7331	94.44	19	17.0
dual_16	amp_7326	100.0	18	18.0
dual_17	amp_7323	94.44	19	17.0
dual_17	amp_7327	100.0	18	18.0
dual_18	amp_7323	94.44	19	17.0
dual_18	amp_7328	100.0	18	18.0
dual_19	amp_7329	100.0	18	18.0
dual_20	amp_7323	94.44	19	17.0
dual_20	amp_7324	94.44	19	17.0
dual_20	amp_7330	100.0	18	18.0
dual_21	amp_7323	94.44	19	17.0
dual_21	amp_7325	94.44	19	17.0
dual_21	amp_7331	100.0	18	18.0
dual_22	amp_7320	94.44	19	17.0
dual_22	amp_7321	94.44	19	17.0
dual_22	amp_7332	100.0	18	18.0
dual_22	amp_7333	94.44	19	17.0
dual_23	amp_7332	94.44	19	17.0
dual_23	amp_7333	100.0	18	18.0
dual_24	amp_5106	91.3	25	21.0
dual_24	amp_7334	100.0	23	23.0
dual_25	amp_7335	100.0	24	24.0
dual_26	amp_316	100.0	16	16.0
dual_26	amp_317	93.75	17	15.0
dual_26	amp_318	93.75	17	15.0
dual_26	amp_322	93.75	17	15.0
dual_26	amp_7337	93.75	17	15.0
dual_26	amp_7338	93.75	17	15.0
dual_26	amp_7339	93.75	17	15.0
dual_26	amp_7344	93.75	17	15.0
dual_27	amp_316	93.75	17	15.0
dual_27	amp_318	93.75	17	15.0
dual_27	amp_7337	100.0	16	16.0
dual_28	amp_316	93.75	17	15.0
dual_28	amp_7338	100.0	16	16.0
dual_29	amp_316	93.75	17	15.0
dual_29	amp_7339	100.0	16	16.0
dual_29	amp_7340	93.75	17	15.0
dual_30	amp_319	93.75	17	15.0
dual_30	amp_320	93.75	17	15.0
dual_30	amp_7339	93.75	17	15.0
dual_30	amp_7340	100.0	16	16.0
dual_31	amp_320	93.75	17	15.0
dual_31	amp_7341	100.0	16	16.0
dual_31	amp_7343	93.75	17	15.0
dual_32	amp_7342	100.0	16	16.0
dual_33	amp_320	93.75	17	15.0
dual_33	amp_7341	93.75	17	15.0
dual_33	amp_7343	100.0	16	16.0
dual_33	amp_7345	93.75	17	15.0
dual_34	amp_316	93.75	17	15.0
dual_34	amp_317	93.75	17	15.0
dual_34	amp_7344	100.0	16	16.0
dual_35	amp_7343	93.75	17	15.0
dual_35	amp_7345	100.0	16	16.0
dual_36	amp_7346	100.0	16	16.0
dual_39	amp_586	95.65	24	22.0
dual_39	amp_5106	91.3	25	21.0
dual_39	amp_7349	100.0	23	23.0
dual_39	amp_8304	91.3	25	21.0
dual_40	amp_7350	100.0	21	21.0
dual_40	amp_7351	90.48	22	19.0
dual_41	amp_7350	90.48	22	19.0
dual_41	amp_7351	100.0	20	20.0
dual_42	amp_7352	100.0	24	24.0
